AA	volcanic rock [n]
GENETICALLY	GENETIC, of genes or genetics [adj]
GENETICIST	a student of genetics [n]
GENETICISTS	GENETICIST, a student of genetics [n]
GENETICS	study of heredity and variation in organisms [n]
GENETOTROPHIC	denoting a defect in metabolism which prevents the normal assimilation of essential food elements [adj]
GENETRICES	GENETRIX, female progenitor (archaic) (archaic) [n]
GENETRIX	female progenitor (archaic) [n]
GENETRIXES	GENETRIX, female progenitor (archaic) (archaic) [n]
GENETS	GENET, type of agile catlike mammal [n]
GENETTE	genet (type of agile catlike mammal)
GENETTES	GENETTE [n]
GENEVA	gin [n]
GENEVAS	GENEVA, gin [n]
GENEVRETTE	a wine made from wild fruits flavoured with juniper berries [n]
GENEVRETTES	GENEVRETTE, a wine made from wild fruits flavoured with juniper berries [n]
GENIAL	cheerful and friendly [adj]
GENIALISE	make genial [v]
GENIALISED	GENIALISE, make genial [v]
GENIALISES	GENIALISE, make genial [v]
GENIALISING	GENIALISE, make genial [v]
GENIALITIES	GENIAL, cheerful and friendly [adj]
GENIALITY	GENIAL, cheerful and friendly [adj]
GENIALIZE	genialise (make genial)
GENIALIZED	GENIALISE, make genial [v]
GENIALIZES	GENIALISE, make genial [v]
GENIALIZING	GENIALISE, make genial [v]
GENIALLY	GENIAL, cheerful and friendly [adj]
GENIALNESS	the quality of being genial [n]
GENIALNESSES	GENIALNESS, the quality of being genial [n]
GENIC	of or relating to a gene or genes [adj]
GENICALLY	GENIC, of or relating to a gene or genes [adj]
GENICULAR	of or relating to the knee [adj]
GENICULATE	jointed [adj] / to form joints in [v]
GENICULATED	GENICULATE, jointed [adj]
GENICULATELY	GENICULATE, jointed [adj]
GENICULATES	GENICULATE, jointed [adj]
GENICULATING	GENICULATE, jointed [adj]
GENICULATION	being jointed, like a knee [n]
GENICULATIONS	GENICULATION, being jointed, like a knee [n]
GENIE	(in fairy tales) magical wish-granting servant [n]
GENIES	GENIE, (in fairy tales) magical wish-granting servant [n]
GENII	GENIUS, (person with) an exceptional ability [n]
GENIP	genipap (evergreen Caribbean tree)
GENIPAP	evergreen Caribbean tree [n]
GENIPAPO	tropical American tree [n]
GENIPAPOS	GENIPAPO, tropical American tree [n]
GENIPAPS	GENIPAP, evergreen Caribbean tree [n]
GENIPS	GENIP [n]
GENISTA	any member of the broom family [n]
GENISTAS	GENISTA, any member of the broom family [n]
GENISTEIN	substance found in plants, thought to fight cancer [n]
GENISTEINS	GENISTEIN, substance found in plants, thought to fight cancer [n]
GENITAL	of the reproductive organs [adj]
GENITALIA	{genitals=pl. n}
GENITALIAL	<genitals=pl. n> [pl. n]
GENITALIC	<genitalia=pl. n> [pl. n]
GENITALLY	GENITAL, of the reproductive organs [adj]
GENITALS	external reproductive organs [pl. n]
GENITIVAL	GENITIVE, grammatical case indicating possession [n]
GENITIVALLY	<genitival>
GENITIVE	grammatical case indicating possession [n] / denoting such a grammatical case [adj]
GENITIVELY	GENITIVE, grammatical case indicating possession [n]
GENITIVES	GENITIVE, grammatical case indicating possession [n]
GENITOR	biological father [n]
GENITORS	GENITOR, biological father [n]
GENITOURINARY	of or relating to the genital and urinary organs or functions [adj]
GENITRICES	GENETRIX, female progenitor (archaic) (archaic) [n]
GENITRIX	genetrix (female progenitor (archaic)) (archaic)
GENITRIXES	GENETRIX, female progenitor (archaic) (archaic) [n]
GENITURE	birth [n]
GENITURES	GENITURE, birth [n]
GENIUS	(person with) an exceptional ability [n]
GENIUSES	GENIUS, (person with) an exceptional ability [n]
GENIZAH	repository for sacred objects which may not be destroyed [n]
GENIZAHS	GENIZAH, repository for sacred objects which may not be destroyed [n]
GENIZOT	GENIZAH, repository for sacred objects which may not be destroyed [n]
GENIZOTH	GENIZAH, repository for sacred objects which may not be destroyed [n]
GENLOCK	generator locking device [n] / activate a genlock [v]
GENLOCKED	GENLOCK, generator locking device [n]
GENLOCKING	method of synchronizing cameras [n]
GENLOCKINGS	GENLOCKING, method of synchronizing cameras [n]
GENLOCKS	GENLOCK, generator locking device [n]
GENNAKER	type of sail for boats [n]
GENNAKERS	GENNAKER, type of sail for boats [n]
GENNED	GEN, information [n]
GENNEL	ginnel (narrow passageway between buildings)
GENNELS	GENNEL [n]
GENNET	female donkey or ass [n]
GENNETS	GENNET, female donkey or ass [n]
GENNIES	GENNY [n]
GENNING	GEN, information [n]
GENNY	genoa (large triangular jib sail)
GENOA	large triangular jib sail [n]
GENOAS	GENOA, large triangular jib sail [n]
GENOCIDAIRE	person guilty of genocide [n]
GENOCIDAIRES	GENOCIDAIRE, person guilty of genocide [n]
GENOCIDAL	GENOCIDE, deliberate killing of an ethnic group [n]
GENOCIDE	deliberate killing of an ethnic group [n]
GENOCIDES	GENOCIDE, deliberate killing of an ethnic group [n]
GENOGRAM	expanded family tree [n]
GENOGRAMS	GENOGRAM, expanded family tree [n]
GENOISE	rich sponge cake [n]
GENOISES	GENOISE, rich sponge cake [n]
GENOM	genome (all the genetic material in an organism)
GENOME	all the genetic material in an organism [n]
GENOMES	GENOME, all the genetic material in an organism [n]
GENOMIC	GENOME, all the genetic material in an organism [n]
GENOMICS	branch of molecular genetics concerned with the study of genomes [n]
GENOMS	GENOM [n]
GENOPHOBIA	the morbid fear of sex (not_family) [n]
GENOPHOBIAS	GENOPHOBIA, the morbid fear of sex (not_family) (not_family) [n]
GENOTOXIC	harmful to genetic material [adj]
GENOTYPE	genetic constitution of an organism [n] / determine the genotype of [v]
GENOTYPED	GENOTYPE, genetic constitution of an organism [n]
GENOTYPES	GENOTYPE, genetic constitution of an organism [n]
GENOTYPIC	GENOTYPE, genetic constitution of an organism [n]
GENOTYPICAL	relating to a genotype [adj]
GENOTYPICALLY	<genotypic>
GENOTYPICITIES	GENOTYPE, genetic constitution of an organism [n]
GENOTYPICITY	GENOTYPE, genetic constitution of an organism [n]
GENOTYPING	GENOTYPE, genetic constitution of an organism [n]
GENOUILLERE	a jointed knee-piece in armour [n]
GENOUILLERES	GENOUILLERE, a jointed knee-piece in armour [n]
GENRE	style of literary, musical, or artistic work [n]
GENRES	GENRE, style of literary, musical, or artistic work [n]
GENRO	group of Japanese statesmen [n]
GENROS	GENRO, group of Japanese statesmen [n]
GENS	(in ancient Rome) a group of aristocratic families [n]
GENSDARMES	GENDARME, member of the French police force [n]
GENSENG	ginseng ((root of) a plant)
GENSENGS	GENSENG [n]
GENT	gentleman [n]
GENTAMICIN	a broad-spectrum antibiotic derived from an actinomycete [n]
GENTAMICINS	GENTAMICIN, a broad-spectrum antibiotic derived from an actinomycete [n]
GENTEEL	affectedly proper and polite [adj]
GENTEELER	GENTEEL, affectedly proper and polite [adj]
GENTEELEST	GENTEEL, affectedly proper and polite [adj]
GENTEELISE	to make genteel or falsely refined [v]
GENTEELISED	GENTEELISE, to make genteel or falsely refined [v]
GENTEELISES	GENTEELISE, to make genteel or falsely refined [v]
GENTEELISH	GENTEEL, affectedly proper and polite [adj]
GENTEELISING	GENTEELISE, to make genteel or falsely refined [v]
GENTEELISM	being genteel [n]
GENTEELISMS	GENTEELISM, being genteel [n]
GENTEELIZE	genteelise (to make genteel or falsely refined)
GENTEELIZED	GENTEELISE, to make genteel or falsely refined [v]
GENTEELIZES	GENTEELISE, to make genteel or falsely refined [v]
GENTEELIZING	GENTEELISE, to make genteel or falsely refined [v]
GENTEELLY	GENTEEL, affectedly proper and polite [adj]
GENTEELNESS	GENTEEL, affectedly proper and polite [adj]
GENTEELNESSES	GENTEEL, affectedly proper and polite [adj]
GENTES	GENS, (in ancient Rome) a group of aristocratic families [n]
GENTIAN	mountain plant with deep blue flowers [n]
GENTIANACEOUS	belonging to the gentian family [adj]
GENTIANELLA	a name for several species of gentian, esp Gentiana acaulis, with deep-blue flowers [n]
GENTIANELLAS	GENTIANELLA, a name for several species of gentian, esp Gentiana acaulis, with deep-blue flowers [n]
GENTIANS	GENTIAN, mountain plant with deep blue flowers [n]
GENTIER	GENTY, neat [adj]
GENTIEST	GENTY, neat [adj]
GENTIL	gentle [adj]
GENTILE	non-Jewish person [n] / used to designate a place or the inhabitants of a place [adj]
GENTILES	GENTILE, non-Jewish person [n]
GENTILESSE	gentleness, courtesy (archaic) [n]
GENTILESSES	GENTILESSE, gentleness, courtesy (archaic) (archaic) [n]
GENTILHOMME	a nobleman, a gentleman [n]
GENTILIC	tribal [adj]
GENTILISE	live like a gentile (archaic) [v]
GENTILISED	GENTILISE, live like a gentile (archaic) (archaic) [v]
GENTILISES	GENTILISE, live like a gentile (archaic) (archaic) [v]
GENTILISH	heathenish [adj]
GENTILISING	GENTILISE, live like a gentile (archaic) (archaic) [v]
GENTILISM	heathenism [n]
GENTILISMS	GENTILISM, heathenism [n]
GENTILITIAL	relating to a gens [adj]
GENTILITIAN	relating to a gens [adj]
GENTILITIES	GENTILITY, noble birth or ancestry [n]
GENTILITIOUS	relating to a gens [adj]
GENTILITY	noble birth or ancestry [n]
GENTILIZE	gentilise (live like a gentile (archaic)) (archaic)
GENTILIZED	GENTILISE, live like a gentile (archaic) (archaic) [v]
GENTILIZES	GENTILISE, live like a gentile (archaic) (archaic) [v]
GENTILIZING	GENTILISE, live like a gentile (archaic) (archaic) [v]
GENTILSHOMMES	GENTILHOMME, a nobleman, a gentleman [n]
GENTLE	mild or kindly [adj] / tame or subdue (a horse) [v] / maggot, esp when used as bait in fishing [n]
GENTLED	GENTLE, mild or kindly [adj]
GENTLEFOLK	persons of gentle or good family and breeding [n]
GENTLEFOLKS	GENTLEFOLK, persons of gentle or good family and breeding [n]
GENTLEHOOD	position or character attaching to gentle birth (archaic) [n]
GENTLEHOODS	GENTLEHOOD, position or character attaching to gentle birth (archaic) (archaic) [n]
GENTLEMAN	a cultured and courteous man [n]
GENTLEMANHOOD	the state of being a gentleman [n]
GENTLEMANHOODS	GENTLEMANHOOD, the state of being a gentleman [n]
GENTLEMANLIER	GENTLEMANLY, like a gentleman [adj]
GENTLEMANLIEST	GENTLEMANLY, like a gentleman [adj]
GENTLEMANLIKE	GENTLEMAN, a cultured and courteous man [n]
GENTLEMANLINESS	GENTLEMAN, a cultured and courteous man [n]
GENTLEMANLY	like a gentleman [adj]
GENTLEMANSHIP	GENTLEMAN, a cultured and courteous man [n]
GENTLEMANSHIPS	GENTLEMAN, a cultured and courteous man [n]
GENTLEMEN	GENTLEMAN, a cultured and courteous man [n]
GENTLENESS	the state of being gentle [n]
GENTLENESSE	gentleness [n]
GENTLENESSES	GENTLENESS, the state of being gentle [n]
GENTLEPERSON	a gentleman or gentlewoman [n]
GENTLEPERSONS	GENTLEPERSON, a gentleman or gentlewoman [n]
GENTLER	GENTLE, mild or kindly [adj]
GENTLES	GENTLE, mild or kindly [adj]
GENTLEST	GENTLE, mild or kindly [adj]
GENTLEWOMAN	a woman of high social standing [n]
GENTLEWOMANLIER	GENTLEWOMANLY, like a gentlewoman [adj]
GENTLEWOMANLY	like a gentlewoman [adj]
GENTLEWOMEN	GENTLEWOMAN, a woman of high social standing [n]
GENTLING	GENTLE, mild or kindly [adj]
GENTLY	GENTLE, mild or kindly [adj]
GENTOO	grey-backed penguin (archaic) [n]
GENTOOS	GENTOO, grey-backed penguin (archaic) (archaic) [n]
GENTRICE	high birth [n]
GENTRICES	GENTRICE, high birth [n]
GENTRIES	GENTRY, term for people just below the nobility in social rank [n]
GENTRIFICATION	the movement of the middle class to a working class area [n]
GENTRIFICATIONS	GENTRIFICATION, the movement of the middle class to a working class area [n]
GENTRIFIED	GENTRIFY, cause a neighbourhood to appeal to the middle classes [v]
GENTRIFIER	one who gentrifies [n]
GENTRIFIERS	GENTRIFIER, one who gentrifies [n]
GENTRIFIES	GENTRIFY, cause a neighbourhood to appeal to the middle classes [v]
GENTRIFY	cause a neighbourhood to appeal to the middle classes [v]
GENTRIFYING	GENTRIFY, cause a neighbourhood to appeal to the middle classes [v]
GENTRY	term for people just below the nobility in social rank [n]
GENTS	men's public toilet [n]
GENTY	neat [adj]
GENU	any knee-like bend in a structure or part [n]
GENUA	GENU, any knee-like bend in a structure or part [n]
GENUFLECT	bend the knee as a sign of reverence or deference [v]
GENUFLECTED	GENUFLECT, bend the knee as a sign of reverence or deference [v]
GENUFLECTING	GENUFLECT, bend the knee as a sign of reverence or deference [v]
GENUFLECTION	the act of bending the knee [n]
GENUFLECTIONS	GENUFLECTION, the act of bending the knee [n]
GENUFLECTOR	one who genuflects [n]
GENUFLECTORS	GENUFLECTOR, one who genuflects [n]
GENUFLECTS	GENUFLECT, bend the knee as a sign of reverence or deference [v]
GENUFLEXION	the bending of the knees in respect or worship [n]
GENUFLEXIONS	GENUFLEXION, the bending of the knees in respect or worship [n]
GENUINE	not fake, authentic [adj]
GENUINELY	GENUINE, not fake, authentic [adj]
GENUINENESS	GENUINE, not fake, authentic [adj]
GENUINENESSES	GENUINE, not fake, authentic [adj]
GENUS	group of animals or plants [n]
GENUSES	GENUS, group of animals or plants [n]
GEO	(esp in Shetland) a small fjord or gully [n]
GEOBOTANIC	GEOBOTANY, study of plants in relation to their geological habitat [n]
GEOBOTANICAL	GEOBOTANY, study of plants in relation to their geological habitat [n]
GEOBOTANIES	GEOBOTANY, study of plants in relation to their geological habitat [n]
GEOBOTANIST	GEOBOTANY, study of plants in relation to their geological habitat [n]
GEOBOTANISTS	GEOBOTANY, study of plants in relation to their geological habitat [n]
GEOBOTANY	study of plants in relation to their geological habitat [n]
GEOCACHE	search for hidden containers using GPS as a recreational activity [v]
GEOCACHED	GEOCACHE, search for hidden containers using GPS as a recreational activity [v]
GEOCACHER	person who participates in geocaching [n]
GEOCACHERS	GEOCACHER, person who participates in geocaching [n]
GEOCACHES	GEOCACHE, search for hidden containers using GPS as a recreational activity [v]
GEOCACHING	a treasure hunting game where you use a GPS to hide and seek containers with other participants in the activity [n]
GEOCACHINGS	GEOCACHING, a treasure hunting game where you use a GPS to hide and seek containers with other participants in the activity [n]
GEOCARPIC	GEOCARPY, ripening of fruits below ground, as occurs in the peanut [n]
GEOCARPIES	GEOCARPY, ripening of fruits below ground, as occurs in the peanut [n]
GEOCARPY	ripening of fruits below ground, as occurs in the peanut [n]
GEOCENTRIC	having the earth for centre [adj]
GEOCENTRICAL	GEOCENTRIC, having the earth for centre [adj]
GEOCENTRICALLY	<geocentrical>
GEOCENTRICISM	GEOCENTRIC, having the earth for centre [adj]
GEOCENTRICISMS	GEOCENTRIC, having the earth for centre [adj]
GEOCHEMICAL	GEOCHEMISTRY, the study of the chemistry of the earth's crust [n]
GEOCHEMICALLY	GEOCHEMISTRY, the study of the chemistry of the earth's crust [n]
GEOCHEMIST	one who studies the chemistry of the earth's crust [n]
GEOCHEMISTRIES	GEOCHEMISTRY, the study of the chemistry of the earth's crust [n]
GEOCHEMISTRY	the study of the chemistry of the earth's crust [n]
GEOCHEMISTS	GEOCHEMIST, one who studies the chemistry of the earth's crust [n]
GEOCHRONOLOGIC	GEOCHRONOLOGY, the study of measuring geological time [n]
GEOCHRONOLOGIES	GEOCHRONOLOGY, the study of measuring geological time [n]
GEOCHRONOLOGIST	GEOCHRONOLOGY, the study of measuring geological time [n]
GEOCHRONOLOGY	the study of measuring geological time [n]
GEOCODE	assign geographical coordinates to a physical location using a digital code [v]
GEOCODED	GEOCODE, assign geographical coordinates to a physical location using a digital code [v]
GEOCODES	GEOCODE, assign geographical coordinates to a physical location using a digital code [v]
GEOCODING	GEOCODE, assign geographical coordinates to a physical location using a digital code [v]
GEOCORONA	outer layer of earth's atmosphere [n]
GEOCORONAE	GEOCORONA, outer layer of earth's atmosphere [n]
GEOCORONAS	GEOCORONA, outer layer of earth's atmosphere [n]
GEODATA	information about geographical location held in a digital format [n]
GEODE	cavity within a rock mass or nodule [n]
GEODEMOGRAPHICS	the study and grouping of the people in a geographical area according to socioeconomic criteria [n]
GEODES	GEODE, cavity within a rock mass or nodule [n]
GEODESIC	of the geometry of curved surfaces [adj] / shortest line between two points on a curve [n]
GEODESICAL	of or pertaining to geodesy [adj]
GEODESICS	GEODESIC, of the geometry of curved surfaces [adj]
GEODESIES	GEODESY, study of the shape and size of the earth [n]
GEODESIST	GEODESY, study of the shape and size of the earth [n]
GEODESISTS	GEODESY, study of the shape and size of the earth [n]
GEODESY	study of the shape and size of the earth [n]
GEODETIC	geodesic (of the geometry of curved surfaces)
GEODETICAL	GEODESIC, of the geometry of curved surfaces [adj]
GEODETICALLY	<geodetical>
GEODETICS	geodetic
GEODIC	GEODE, cavity within a rock mass or nodule [n]
GEODUCK	king clam [n]
GEODUCKS	GEODUCK, king clam [n]
GEODYNAMIC	related to geodynamics, the study of the dynamic processes and forces within the earth [adj]
GEODYNAMICAL	GEODYNAMIC, related to geodynamics, the study of the dynamic processes and forces within the earth [adj]
GEODYNAMICIST	a student of geodynamics, the study of the dynamic processes and forces within the earth [n]
GEODYNAMICISTS	GEODYNAMICIST, a student of geodynamics, the study of the dynamic processes and forces within the earth [n]
GEODYNAMICS	the study of the dynamic processes and forces within the earth [n]
GEOENGINEERING	the application of scientific processes to affect the global environment, esp in order to counter the effects of climate change [n]
GEOENGINEERINGS	GEOENGINEERING, the application of scientific processes to affect the global environment, esp in order to counter the effects of climate change [n]
GEOFACT	rock shaped by natural forces [n]
GEOFACTS	GEOFACT, rock shaped by natural forces [n]
GEOFENCE	boundary established around a geographical area in an information system [n] / establish a geofence around (an area) [v]
GEOFENCED	GEOFENCE, boundary established around a geographical area in an information system [n]
GEOFENCES	GEOFENCE, boundary established around a geographical area in an information system [n]
GEOFENCING	GEOFENCE, boundary established around a geographical area in an information system [n]
GEOGENIES	GEOGENY [n]
GEOGENY	geogony (science of the earth's formation)
GEOGNOSES	GEOGNOSY, early form of geology [n]
GEOGNOSIES	GEOGNOSY, early form of geology [n]
GEOGNOSIS	geognosy (early form of geology)
GEOGNOST	GEOGNOSY, early form of geology [n]
GEOGNOSTIC	GEOGNOSY, early form of geology [n]
GEOGNOSTICAL	GEOGNOSY, early form of geology [n]
GEOGNOSTICALLY	GEOGNOSY, early form of geology [n]
GEOGNOSTS	GEOGNOSY, early form of geology [n]
GEOGNOSY	early form of geology [n]
GEOGONIC	GEOGONY, science of the earth's formation [n]
GEOGONIES	GEOGONY, science of the earth's formation [n]
GEOGONY	science of the earth's formation [n]
GEOGRAPHER	GEOGRAPHY, study of the earth's physical features, climate, population, etc [n]
GEOGRAPHERS	GEOGRAPHY, study of the earth's physical features, climate, population, etc [n]
GEOGRAPHIC	of or relating to geography [adj]
GEOGRAPHICAL	GEOGRAPHY, study of the earth's physical features, climate, population, etc [n]
GEOGRAPHICALLY	<geographical>
GEOGRAPHIES	GEOGRAPHY, study of the earth's physical features, climate, population, etc [n]
GEOGRAPHY	study of the earth's physical features, climate, population, etc [n]
GEOHYDROLOGIC	GEOHYDROLOGY, a science that deals with the character, source, and mode of occurrence of underground water [n]
GEOHYDROLOGIES	GEOHYDROLOGY, a science that deals with the character, source, and mode of occurrence of underground water [n]
GEOHYDROLOGIST	GEOHYDROLOGY, a science that deals with the character, source, and mode of occurrence of underground water [n]
GEOHYDROLOGISTS	GEOHYDROLOGY, a science that deals with the character, source, and mode of occurrence of underground water [n]
GEOHYDROLOGY	a science that deals with the character, source, and mode of occurrence of underground water [n]
GEOID	hypothetical surface [n]
GEOIDAL	GEOID, hypothetical surface [n]
GEOIDS	GEOID, hypothetical surface [n]
GEOLATRIES	GEOLATRY, worship of the earth [n]
GEOLATRY	worship of the earth [n]
GEOLINGUISTICS	the study of language in relation to geography [n]
GEOLOCATION	identification of the location of an internet user [n]
GEOLOCATIONS	GEOLOCATION, identification of the location of an internet user [n]
GEOLOGER	GEOLOGY, study of the earth [n]
GEOLOGERS	GEOLOGY, study of the earth [n]
GEOLOGIAN	GEOLOGY, study of the earth [n]
GEOLOGIANS	GEOLOGY, study of the earth [n]
GEOLOGIC	GEOLOGY, study of the earth [n]
GEOLOGICAL	GEOLOGY, study of the earth [n]
GEOLOGICALLY	<geological>
GEOLOGIES	GEOLOGY, study of the earth [n]
GEOLOGISE	geologize (study the geological features of (an area))
GEOLOGISED	GEOLOGIZE, study the geological features of (an area) [v]
GEOLOGISES	GEOLOGIZE, study the geological features of (an area) [v]
GEOLOGISING	GEOLOGIZE, study the geological features of (an area) [v]
GEOLOGIST	GEOLOGY, study of the earth [n]
GEOLOGISTS	GEOLOGY, study of the earth [n]
GEOLOGIZE	study the geological features of (an area) [v]
GEOLOGIZED	GEOLOGIZE, study the geological features of (an area) [v]
GEOLOGIZES	GEOLOGIZE, study the geological features of (an area) [v]
GEOLOGIZING	GEOLOGIZE, study the geological features of (an area) [v]
GEOLOGY	study of the earth [n]
GEOMAGNETIC	GEOMAGNETISM, the state of being geomagnetic [n]
GEOMAGNETICALLY	GEOMAGNETISM, the state of being geomagnetic [n]
GEOMAGNETISM	the state of being geomagnetic [n]
GEOMAGNETISMS	GEOMAGNETISM, the state of being geomagnetic [n]
GEOMAGNETIST	GEOMAGNETISM, the state of being geomagnetic [n]
GEOMAGNETISTS	GEOMAGNETISM, the state of being geomagnetic [n]
GEOMANCER	GEOMANCY, prophecy made from casting down a handful of earth [n]
GEOMANCERS	GEOMANCY, prophecy made from casting down a handful of earth [n]
GEOMANCIES	GEOMANCY, prophecy made from casting down a handful of earth [n]
GEOMANCY	prophecy made from casting down a handful of earth [n]
GEOMANT	geomancer [n]
GEOMANTIC	GEOMANCY, prophecy made from casting down a handful of earth [n]
GEOMANTS	GEOMANT, geomancer [n]
GEOMATICS	branch of science dealing with the collection, storage, and analysis of geographical data [n]
GEOMECHANICS	the study and application of rock and soil mechanics [n]
GEOMEDICAL	GEOMEDICINE, the study of diseases as influenced by the geographical environment [n]
GEOMEDICINE	the study of diseases as influenced by the geographical environment [n]
GEOMEDICINES	GEOMEDICINE, the study of diseases as influenced by the geographical environment [n]
GEOMETER	person who is practised in or who studies geometry [n]
GEOMETERS	GEOMETER, person who is practised in or who studies geometry [n]
GEOMETRIC	of geometry [adj]
GEOMETRICAL	related to geometry [adj]
GEOMETRICALLY	GEOMETRICAL, related to geometry [adj]
GEOMETRICIAN	a specialist in geometry [n]
GEOMETRICIANS	GEOMETRICIAN, a specialist in geometry [n]
GEOMETRICS	GEOMETRIC, of geometry [adj]
GEOMETRID	type of moth, the larvae of which are called measuring worms, inchworms, or loopers [n]
GEOMETRIDS	GEOMETRID, type of moth, the larvae of which are called measuring worms, inchworms, or loopers [n]
GEOMETRIES	GEOMETRY, branch of mathematics dealing with points, lines, curves, and surfaces [n]
GEOMETRISATION	GEOMETRISE, to work geometrically; to show in geometric form [v]
GEOMETRISATIONS	GEOMETRISE, to work geometrically; to show in geometric form [v]
GEOMETRISE	to work geometrically; to show in geometric form [v]
GEOMETRISED	GEOMETRISE, to work geometrically; to show in geometric form [v]
GEOMETRISES	GEOMETRISE, to work geometrically; to show in geometric form [v]
GEOMETRISING	GEOMETRISE, to work geometrically; to show in geometric form [v]
GEOMETRIST	GEOMETRISE, to work geometrically; to show in geometric form [v]
GEOMETRISTS	GEOMETRISE, to work geometrically; to show in geometric form [v]
GEOMETRIZATION	GEOMETRIZE, to work geometrically; to show in geometric form [v]
GEOMETRIZATIONS	GEOMETRIZE, to work geometrically; to show in geometric form [v]
GEOMETRIZE	to work geometrically; to show in geometric form [v]
GEOMETRIZED	GEOMETRIZE, to work geometrically; to show in geometric form [v]
GEOMETRIZES	GEOMETRIZE, to work geometrically; to show in geometric form [v]
GEOMETRIZING	GEOMETRIZE, to work geometrically; to show in geometric form [v]
GEOMETRY	branch of mathematics dealing with points, lines, curves, and surfaces [n]
GEOMORPHIC	earth-shaped [adj]
GEOMORPHOGENIC	GEOMORPHOGENY, the study of the origins of land forms [n]
GEOMORPHOGENIES	GEOMORPHOGENY, the study of the origins of land forms [n]
GEOMORPHOGENIST	GEOMORPHOGENY, the study of the origins of land forms [n]
GEOMORPHOGENY	the study of the origins of land forms [n]
GEOMORPHOLOGIC	related to geomorphology, the study of the landscapes of the earth and their development [adj]
GEOMORPHOLOGIES	GEOMORPHOLOGY, the study of the landscapes of the earth and their development [n]
GEOMORPHOLOGIST	GEOMORPHOLOGY, the study of the landscapes of the earth and their development [n]
GEOMORPHOLOGY	the study of the landscapes of the earth and their development [n]
GEOMYOID	relating to burrowing rodents of the genus Geomys [adj]
GEONOMICS	doctrine holding that those things found in nature belong to no one person but instead belong equally to all [n]
GEOPHAGIA	geophagy (practice of eating earth, clay, chalk, etc, found in some primitive tribes)
GEOPHAGIAS	GEOPHAGY, practice of eating earth, clay, chalk, etc, found in some primitive tribes [n]
GEOPHAGIES	GEOPHAGY, practice of eating earth, clay, chalk, etc, found in some primitive tribes [n]
GEOPHAGISM	the act or habit of eating earth [n]
GEOPHAGISMS	GEOPHAGISM, the act or habit of eating earth [n]
GEOPHAGIST	GEOPHAGY, practice of eating earth, clay, chalk, etc, found in some primitive tribes [n]
GEOPHAGISTS	GEOPHAGY, practice of eating earth, clay, chalk, etc, found in some primitive tribes [n]
GEOPHAGOUS	GEOPHAGY, practice of eating earth, clay, chalk, etc, found in some primitive tribes [n]
GEOPHAGY	practice of eating earth, clay, chalk, etc, found in some primitive tribes [n]
GEOPHILIC	soil-loving [adj]
GEOPHILOUS	GEOPHILIC, soil-loving [adj]
GEOPHONE	device for recording seismic movement [n]
GEOPHONES	GEOPHONE, device for recording seismic movement [n]
GEOPHYSICAL	relating to geophysics [adj]
GEOPHYSICALLY	GEOPHYSICAL, relating to geophysics [adj]
GEOPHYSICIST	a student of geophysics [n]
GEOPHYSICISTS	GEOPHYSICIST, a student of geophysics [n]
GEOPHYSICS	the study of the earth's physical properties [n]
GEOPHYTE	perennial plant that propagates by means of buds below the soil surface [n]
GEOPHYTES	GEOPHYTE, perennial plant that propagates by means of buds below the soil surface [n]
GEOPHYTIC	GEOPHYTE, perennial plant that propagates by means of buds below the soil surface [n]
GEOPOLITICAL	relating to geopolitics [adj]
GEOPOLITICALLY	GEOPOLITICAL, relating to geopolitics [adj]
GEOPOLITICIAN	a specialist in geopolitics [n]
GEOPOLITICIANS	GEOPOLITICIAN, a specialist in geopolitics [n]
GEOPOLITICS	the study of the relationship between the geographical situation and the politics of a nation [n]
GEOPONIC	of or relating to agriculture, esp as a science [adj]
GEOPONICAL	GEOPONIC, of or relating to agriculture, esp as a science [adj]
GEOPONICS	science of agriculture [n]
GEOPRESSURED	subjected to great pressure from geologic forces [adj]
GEOPROBE	probing device used for sampling soil [n]
GEOPROBES	GEOPROBE, probing device used for sampling soil [n]
GEORGETTE	fine silky fabric [n]
GEORGETTES	GEORGETTE, fine silky fabric [n]
GEORGIC	agricultural [adj] / poem about rural or agricultural life [n]
GEORGICAL	georgic (agricultural)
GEORGICS	GEORGIC, agricultural [adj]
GEOS	GEO, (esp in Shetland) a small fjord or gully [n]
GEOSCIENCE	a science, such as geology, which deals with some aspect of the earth [n]
GEOSCIENCES	GEOSCIENCE, a science, such as geology, which deals with some aspect of the earth [n]
GEOSCIENTIFIC	GEOSCIENCE, a science, such as geology, which deals with some aspect of the earth [n]
GEOSCIENTIST	GEOSCIENCE, a science, such as geology, which deals with some aspect of the earth [n]
GEOSCIENTISTS	GEOSCIENCE, a science, such as geology, which deals with some aspect of the earth [n]
GEOSMIN	molecule responsible for petrichor [n]
GEOSMINS	GEOSMIN, molecule responsible for petrichor [n]
GEOSPACE	area of space near the earth's surface [n]
GEOSPACES	GEOSPACE, area of space near the earth's surface [n]
GEOSPATIAL	relating to the relative position of things on the earth's surface [adj]
GEOSPHERE	the rigid outer layer of the earth [n]
GEOSPHERES	LITHOSPHERE, the solid outer portion of the Earth consisting of the crust and upper mantle [n]
GEOSTATIC	denoting or relating to the pressure exerted by a mass of rock or a similar substance [adj]
GEOSTATICS	the statics of rigid bodies [n]
