AA	volcanic rock [n]
ABIRRITANT	any drug or agent that relieves irritation [n]
ABIRRITANTS	ABIRRITANT, any drug or agent that relieves irritation [n]
ABIRRITATE	to soothe or make less irritable [v]
ABIRRITATED	ABIRRITATE, to soothe or make less irritable [v]
ABIRRITATES	ABIRRITATE, to soothe or make less irritable [v]
ABIRRITATING	ABIRRITATE, to soothe or make less irritable [v]
ABITUR	German examination [n]
ABITURIENT	German student [n]
ABITURIENTS	ABITURIENT, German student [n]
ABITURS	ABITUR, German examination [n]
ABJECT	utterly miserable [adj] / throw down [v]
ABJECTED	ABJECT, utterly miserable [adj]
ABJECTING	ABJECT, utterly miserable [adj]
ABJECTION	ABJECT, utterly miserable [adj]
ABJECTIONS	ABJECT, utterly miserable [adj]
ABJECTLY	ABJECT, utterly miserable [adj]
ABJECTNESS	ABJECT, utterly miserable [adj]
ABJECTNESSES	ABJECT, utterly miserable [adj]
ABJECTS	ABJECT, utterly miserable [adj]
ABJOINT	cut off [v]
ABJOINTED	ABJOINT, cut off [v]
ABJOINTING	ABJOINT, cut off [v]
ABJOINTS	ABJOINT, cut off [v]
ABJUNCTION	ABJOINT, cut off [v]
ABJUNCTIONS	ABJOINT, cut off [v]
ABJURATION	ABJURE, deny or renounce on oath [v]
ABJURATIONS	ABJURE, deny or renounce on oath [v]
ABJURE	deny or renounce on oath [v]
ABJURED	ABJURE, deny or renounce on oath [v]
ABJURER	ABJURE, deny or renounce on oath [v]
ABJURERS	ABJURE, deny or renounce on oath [v]
ABJURES	ABJURE, deny or renounce on oath [v]
ABJURING	ABJURE, deny or renounce on oath [v]
ABLACTATION	the weaning of a child from its mother's milk [n]
ABLACTATIONS	ABLACTATION, the weaning of a child from its mother's milk [n]
ABLATE	remove by ablation [v]
ABLATED	ABLATE, remove by ablation [v]
ABLATES	ABLATE, remove by ablation [v]
ABLATING	ABLATE, remove by ablation [v]
ABLATION	removal of an organ [n]
ABLATIONS	ABLATION, removal of an organ [n]
ABLATITIOUS	ABLATE, remove by ablation [v]
ABLATIVAL	ABLATIVE, case of nouns [n]
ABLATIVE	case of nouns [n] / relating to the ablative case [adj]
ABLATIVELY	ABLATIVE, case of nouns [n]
ABLATIVES	ABLATIVE, case of nouns [n]
ABLATOR	heat shield of a space craft [n]
ABLATORS	ABLATOR, heat shield of a space craft [n]
ABLAUT	vowel gradation [n]
ABLAUTS	ABLAUT, vowel gradation [n]
ABLAZE	burning fiercely [adj] / on fire [adv]
ABLE	capable, competent [adj] / enable [v]
ABLED	having physical powers [adj]
ABLEGATE	papal envoy [n]
ABLEGATES	ABLEGATE, papal envoy [n]
ABLEISM	discrimination against disabled people [n]
ABLEISMS	ABLEISM, discrimination against disabled people [n]
ABLEIST	ABLEISM, discrimination against disabled people [n]
ABLEISTS	ABLEISM, discrimination against disabled people [n]
ABLER	ABLE, capable, competent [adj]
ABLES	ABLE, capable, competent [adj]
ABLEST	ABLE, capable, competent [adj]
ABLET	freshwater fish [n]
ABLETS	ABLET, freshwater fish [n]
ABLING	ABLE, capable, competent [adj]
ABLINGS	possibly [adv]
ABLINS	Scots word meaning perhaps [adv]
ABLOOM	in flower [adj]
ABLOW	blooming [adj]
ABLUENT	substance used for cleansing [n]
ABLUENTS	ABLUENT, substance used for cleansing [n]
ABLUSH	blushing [adj]
ABLUTED	washed thoroughly [adj]
ABLUTION	ritual washing of a priest's hands [n]
ABLUTIONARY	ABLUTION, ritual washing of a priest's hands [n]
ABLUTIONS	ABLUTION, ritual washing of a priest's hands [n]
ABLUTOMANE	person obsessive about washing [n]
ABLUTOMANES	ABLUTOMANE, person obsessive about washing [n]
ABLY	competently or skilfully [adv]
ABMHO	unit of electrical conductance [n]
ABMHOS	ABMHO, unit of electrical conductance [n]
ABNEGATE	deny to oneself [v]
ABNEGATED	ABNEGATE, deny to oneself [v]
ABNEGATES	ABNEGATE, deny to oneself [v]
ABNEGATING	ABNEGATE, deny to oneself [v]
ABNEGATION	ABNEGATE, deny to oneself [v]
ABNEGATIONS	ABNEGATE, deny to oneself [v]
ABNEGATOR	ABNEGATE, deny to oneself [v]
ABNEGATORS	ABNEGATE, deny to oneself [v]
ABNORMAL	not normal or usual [adj] / abnormal person or thing [n]
ABNORMALISM	ABNORMAL, not normal or usual [adj]
ABNORMALISMS	ABNORMAL, not normal or usual [adj]
